estacion,links,latitud,longitud,direccion/ubicacion aproximada,REGIÓN_2,MPO_2,REF
IZAPOPAN36,https://www.wunderground.com/dashboard/pws/IZAPOPAN36,20.77,-103.37,Zapopan en Bosque del Centinela,CENTRO,Zapopan,Bosque del Centinela
IZAPOPAN37,https://www.wunderground.com/dashboard/pws/IZAPOPAN37,20.7,-103.47,Zapopan en Tecnológico Superior de Jalisco col. El Bajío,CENTRO,Zapopan,Tecnologico superior
IZAPOPAN38,https://www.wunderground.com/dashboard/pws/IZAPOPAN38,20.75,-103.43,Zapopan en calle Valle del Bosque col. Jardines del Valle,CENTRO,Zapopan,Jardines del Valle
IZAPOP41,https://www.wunderground.com/dashboard/pws/IZAPOP41,20.64,-103.42,Zapopan en Av. Patria col. Colli Urbano,CENTRO,Zapopan,Colli Urbano
IZAPOP45,https://www.wunderground.com/dashboard/pws/IZAPOP45,20.77,-103.39,Zapopan en calle De La Fe col. El Centinela,CENTRO,Zapopan,El Centinela 2
IZAPOP46,https://www.wunderground.com/dashboard/pws/IZAPOP46,20.72,-103.46,Zapopan en Av. Paseo de La Luna col. San Juan de Ocotán,CENTRO,Zapopan,San Juan de Ocotan 2
IZAPOT5,https://www.wunderground.com/dashboard/pws/IZAPOT5,20.69,-103.15,Zapotlanejo al sur de Matatlán,CENTRO,Zapotlanejo,Matatlán
IZAPOP59,https://www.wunderground.com/dashboard/pws/IZAPOP59,20.63,-103.43,Zapopan en calle Centauro col. Arboledas,CENTRO,Zapopan,Arboledas
IZAPOP56,https://www.wunderground.com/dashboard/pws/IZAPOP56,20.62,-103.41,"Zapopan Colegio Marí­a Concepción Batiz de Aviña, A.C col Cerro del Tesoro",CENTRO,San Pedro Tlaquepaque,Cerro del Tesoro
IZAPOP58,https://www.wunderground.com/dashboard/pws/IZAPOP58,20.76,-103.38,"Zapopan, camino a las cañadas cerca de El Centinela",CENTRO,Zapopan,El Centinela 3
IGUADA180,https://www.wunderground.com/dashboard/pws/IGUADA180,20.66,-103.29,"Guadalajara, calle gigantes cerca de Cruz Verde Valentin Gómez Farias",CENTRO,Guadalajara,Gigantes
ITLAJO5,https://www.wunderground.com/dashboard/pws/ITLAJO5,20.5,-103.28,"Tlajomulco de Zuñiga, a un costado del parque industrial aeropuerto",CENTRO,Tlajomulco de Zúñiga,Aeropuerto
ITLAQU5,https://www.wunderground.com/dashboard/pws/ITLAQU5,20.61,-103.36,"Tlaquepaque, calle tierra encantada, colonia Terralta",CENTRO,San Pedro Tlaquepaque,Terralta
IZAPOP10,https://www.wunderground.com/dashboard/pws/IZAPOP10,20.66,-103.42,"Zapopan, col. Jardines del Tepeyac, a un lado de UNIVA",CENTRO,Zapopan,UNIVA
ILAALA3,https://www.wunderground.com/dashboard/pws/ILAALA3,20.5,-103.24,"Al sur de localidad San José del Castillo,  Fracc. La Alameda",CENTRO,El Salto,La Alameda
ITLAJO7,https://www.wunderground.com/dashboard/pws/ITLAJO7,20.472,-103.483,Localidad Chulavista cerca de la zona Huertas Productivas de Jalisco,CENTRO,Tlajomulco de Zúñiga,Chulavista
IJUANA20,https://www.wunderground.com/dashboard/pws/IJUANA20,20.455,-103.168,Juanacatlán zona Ex Hacienda Zapotlanejo,CENTRO,Juanacatlán,Rio Santiago
ITONAL12,https://www.wunderground.com/dashboard/pws/ITONAL12,20.6315,-103.204,"Tonalá, carretera libre a Zapotlanejo y Nuevo Periférico Ote.",CENTRO,Tonalá,Carretera libre a Zapotlanejo
IATOTO2,https://www.wunderground.com/dashboard/pws/IATOTO2,20.58,-102.56,Atotonilco el Alto al Oeste de la Iglesia Nuestra Señora de los Altos,CIENEGA,Atotonilco el Alto,Nuestra Señora de los Altos
IPONCI1,https://www.wunderground.com/dashboard/pws/IPONCI1,20.37,-102.92,"Poncitlán, en Base Regional 03 UEPCB",CIENEGA,Poncitlán,Base 03
ICABOC2,https://www.wunderground.com/dashboard/pws/ICABOC2,20.49,-105.44,Cabo Corrientes al norte de la calle Dorado en Playa Yelapa,SIERRA COSTA-OCCIDEN,Cabo Corrientes,Playa Yelapa
ICABOC3,https://www.wunderground.com/dashboard/pws/ICABOC3,20.43,-105.46,Chacala al Noroeste de la torre de comunicaciones,SIERRA COSTA-OCCIDEN,Cabo Corrientes,Torre de Comunicaciones de Chacala
IPUERTOV6,https://www.wunderground.com/dashboard/pws/IPUERTOV6,20.63,-105.23,Puerto Vallarta en Av. Fco. Medina Ascencio en Sorian Hiper Flamingos,SIERRA COSTA-OCCIDEN,Puerto Vallarta,Av. Francisco Medina Ascencio 
IPUERT143,https://www.wunderground.com/dashboard/pws/IPUERT143,20.65,-105.24,Puerto Vallarta entre Av. Fco. Medina Ascencio y calle De Las Águilas,SIERRA COSTA-OCCIDEN,Puerto Vallarta,Calle de las Aguilas
IPUERT163,https://www.wunderground.com/dashboard/pws/IPUERT163,20.64,-105.23,Puerto Vallarta calle Venecia y España,SIERRA COSTA-OCCIDEN,Puerto Vallarta,Calle Venecia
ISANSE127,https://www.wunderground.com/dashboard/pws/ISANSE127,20.76,-104.85,San Sebastián del Oeste en calle Porfirio Díaz,SIERRA COSTA-OCCIDEN,San Sebastián del Oeste,Presidencia Municipal
ITALPA1,https://www.wunderground.com/dashboard/pws/ITALPA1,20.38,-104.82,"Talpa de Allende, base regional 09 UEPCB",SIERRA COSTA-OCCIDEN,Talpa de Allende,Base 09
ITALPA3,https://www.wunderground.com/dashboard/pws/ITALPA3,20.19,-104.83,"Noroeste de la localidad de La Cuesta, en el municipio de Talpa de allende",SIERRA COSTA-OCCIDEN,Talpa de Allende,Localidad La Cuesta
IGUACH3,https://www.wunderground.com/dashboard/pws/IGUACH3,20.58,-104.38,Guachinango 16 de Septiembre entre Hidalgo y Morelos,SIERRA COSTA-OCCIDEN,Guachinango,Campo de Futbol
IMIXTL1,https://www.wunderground.com/dashboard/pws/IMIXTL1,20.438,-104.408,Mixtlán calle Eliseo R. Morales y Morelos,SIERRA COSTA-OCCIDEN,Mixtlán,Localidad Los Fresnos
IATENG1,https://www.wunderground.com/dashboard/pws/IATENG1,20.415,-104.493,Atenguillo calle Zaragoza entre Javier Mina e Independencia,SIERRA COSTA-OCCIDEN,Atenguillo,Centro
ICIHUA1,https://www.wunderground.com/dashboard/pws/ICIHUA1,19.24,-104.71,"Cihuatlán, Base Regional 02 UEPCBJ",COSTA SUR,Cihuatlán,Base 02
ICIHUA2,https://www.wunderground.com/dashboard/pws/ICIHUA2,19.24,-104.57,Cihuatlán entre 5 de Febrero y Pino Suárez,COSTA SUR,Cihuatlán,Centro
ILAHUE6,https://www.wunderground.com/dashboard/pws/ILAHUE6,19.31,-104.81,La Huerta playa Boca de Iguanas,COSTA SUR,La Huerta,Playa Boca de Iguanas
ILAHUE7,https://www.wunderground.com/dashboard/pws/ILAHUE7,19.44,-105.03,La Huerta en casa las Glorias,COSTA SUR,La Huerta,Casa las Glorias
ILAHUE12,https://www.wunderground.com/dashboard/pws/ILAHUE12,19.28,-104.78,La Huerta en playa La Manzanilla,COSTA SUR,La Huerta,Playa La Manzanilla
ILAHUE13,https://www.wunderground.com/dashboard/pws/ILAHUE13,19.59,-105.12,La Huerta en playa Punta Pérula en calle Caracol y Benito Juárez,COSTA SUR,La Huerta,Playa Punta Perula
ILARES8,https://www.wunderground.com/dashboard/pws/ILARES8,19.6,-104.44,Casimiro Castillo en calle Emiliano Zapata cerca de fábrica,COSTA SUR,Casimiro Castillo,Localidad La Resolana
ITOMAT1,https://www.wunderground.com/dashboard/pws/ITOMAT1,19.94,-105.25,Tomatlán UMPC calle Revolución,COSTA SUR,Tomatlán,UMPC
ISAYUL1,https://www.wunderground.com/dashboard/pws/ISAYUL1,19.86,-103.58,Sayula al oeste de Campo Miravalles Topfresh,LAGUNAS,Sayula,Campo Miravalles
ITAPALPA4,https://www.wunderground.com/dashboard/pws/ITAPALPA4,19.94,-103.76,Tapalpa col. Loma Bonita,LAGUNAS,Tapalpa,Loma Bonita
ITAPAL1,https://www.wunderground.com/dashboard/pws/ITAPAL1,19.97,-103.78,Tapalpa cerca del Valle de los Enigmas,LAGUNAS,Tapalpa,Valle de los Enigmas
ITAPAL6,https://www.wunderground.com/dashboard/pws/ITAPAL6,19.95,-103.76,Tapalpa al sur de La Casona Tapalpa col. El Calabozo,LAGUNAS,Tapalpa,El Calabozo
IATEMA1,https://www.wunderground.com/dashboard/pws/IATEMA1,20.14,-103.72,"Atemajac de Brizuela, Av. Hidalgo y calle Allende",LAGUNAS,Atemajac de Brizuela,Calle Allende
