,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF
38,IZAPOP45,https://www.wunderground.com/dashboard/pws/IZAPOP45,"Zapopan, MX",20.0,0.0,30,15.124600000000001,16.250899999999998,0.0,E,CENTRO,Zapopan,El Centinela 2
39,IZAPOP46,https://www.wunderground.com/dashboard/pws/IZAPOP46,"Zapopan, MX",21.27777777777778,0.0,31,0.0,0.0,0.0,ESE,CENTRO,Zapopan,San Juan de Ocotan 2
40,IZAPOT5,https://www.wunderground.com/dashboard/pws/IZAPOT5,"Zapotlanejo, MX",22.277777777777775,0.0,32,8.688600000000001,13.0329,0.0,ENE,CENTRO,Zapotlanejo,Matatlán
41,IZAPOP59,https://www.wunderground.com/dashboard/pws/IZAPOP59,"Zapopan, MX",20.27777777777778,0.0,10,0.32180000000000003,1.7699,0.0,ESE,CENTRO,Zapopan,Arboledas
42,IZAPOP56,https://www.wunderground.com/dashboard/pws/IZAPOP56,"Zapopan, MX",20.38888888888889,0.0,31,3.218,3.218,0.0,NE,CENTRO,San Pedro Tlaquepaque,Cerro del Tesoro
44,IGUADA180,https://www.wunderground.com/dashboard/pws/IGUADA180,"Guadalajara, MX",23.277777777777782,0.0,29,1.4481,5.4706,0.0,SE,CENTRO,Guadalajara,Gigantes
47,IZAPOP10,https://www.wunderground.com/dashboard/pws/IZAPOP10,"Zapopan, MX",19.333333333333332,0.0,38,6.436,20.917,0.0,ESE,CENTRO,Zapopan,UNIVA
49,ITLAJO7,https://www.wunderground.com/dashboard/pws/ITLAJO7,"Tlajomulco de Zúñiga, MX",23.111111111111107,0.0,26,6.2751,7.8841,0.0,SSE,CENTRO,Tlajomulco de Zúñiga,Chulavista
50,IJUANA20,https://www.wunderground.com/dashboard/pws/IJUANA20,"Juanacatlán, MX",22.055555555555557,0.0,30,6.436,14.481,0.0,E,CENTRO,Juanacatlán,Rio Santiago
52,IATOTO2,https://www.wunderground.com/dashboard/pws/IATOTO2,"Atotonilco el Alto, MX",19.111111111111114,0.0,39,2.8962,3.5398,0.0,W,CIENEGA,Atotonilco el Alto,Nuestra Señora de los Altos
