,estacion,link,localidad,latitud,longitud,temp_C,lluvia_acumulada_mm,razon_lluvia,HR,vel_viento,dir_viento,racha_viento,letra_dir,acum_calc,lluvia_1hr_calc,intensidad_lluvia,REGIÓN_2,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
86,ISANLU93,https://www.wunderground.com/dashboard/pws/ISANLU93,San Luis Soyatlán,20.196934,-103.304776,19.6,16.68,7.77,90.0,3.5,159.0,8.5,SSE,16.68,0.0,2,SURESTE,Tuxcueca,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
87,ISANSE127,https://www.wunderground.com/dashboard/pws/ISANSE127,San Sebastián del Oeste,20.761,-104.852,20.8,0.0,0.0,99.0,7.9,56.0,11.2,NE,0.0,0.0,5,SIERRA COSTA-OCCIDEN,San Sebastián del Oeste,106.0,0.0,26.5,26.6,53.0,53.1,79.5,79.6,106.0,106.1
88,ISANTA1289,https://www.wunderground.com/dashboard/pws/ISANTA1289,,,,,,,,,,,,0.0,0.0,5,ALTOS SUR,Arandas,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
89,ISAYUL1,https://www.wunderground.com/dashboard/pws/ISAYUL1,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Sayula,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
90,ISAYUL2,https://www.wunderground.com/dashboard/pws/ISAYUL2,Sayula,19.882309,-103.598376,20.3,29.94,0.0,96.0,1.8,24.0,4.3,NNE,29.94,0.0,5,LAGUNAS,Sayula,77.0,0.0,19.25,19.35,38.5,38.6,57.75,57.85,77.0,77.1
91,ISCHIL40,https://www.wunderground.com/dashboard/pws/ISCHIL40,,,,,,,,,,,,0.0,0.0,5,,,,,,,,,,,,
92,ITALA4,https://www.wunderground.com/dashboard/pws/ITALA4,,,,,,,,,,,,0.0,0.0,5,VALLES,Tala,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
93,ITALA5,https://www.wunderground.com/dashboard/pws/ITALA5,Tala,20.56642,-103.700567,20.3,5.9,5.49,92.0,7.9,200.0,15.3,SSW,5.9,0.6600000000000001,2,VALLES,Tala,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
94,ITALA6,https://www.wunderground.com/dashboard/pws/ITALA6,,,,,,,,,,,,0.0,0.0,5,VALLES,Tala,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
95,ITALPA1,https://www.wunderground.com/dashboard/pws/ITALPA1,,,,,,,,,,,,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Talpa de Allende,118.0,0.0,29.5,29.6,59.0,59.1,88.5,88.6,118.0,118.1
96,ITALPA3,https://www.wunderground.com/dashboard/pws/ITALPA3,Talpa de Allende,20.193116,-104.829552,22.4,9.4,0.0,99.0,0.0,276.0,0.0,W,9.4,0.0,5,SIERRA COSTA-OCCIDEN,Talpa de Allende,118.0,0.0,29.5,29.6,59.0,59.1,88.5,88.6,118.0,118.1
97,ITALPA4,https://www.wunderground.com/dashboard/pws/ITALPA4,Talpa de Allende,20.372317,-104.822306,20.1,9.15,6.27,93.0,1.8,233.0,3.2,SW,7.65,0.0,2,SIERRA COSTA-OCCIDEN,Talpa de Allende,118.0,0.0,29.5,29.6,59.0,59.1,88.5,88.6,118.0,118.1
98,ITAPAL1,https://www.wunderground.com/dashboard/pws/ITAPAL1,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
99,ITAPAL10,https://www.wunderground.com/dashboard/pws/ITAPAL10,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
100,ITAPAL11,https://www.wunderground.com/dashboard/pws/ITAPAL11,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
101,ITAPAL12,https://www.wunderground.com/dashboard/pws/ITAPAL12,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
102,ITAPAL13,https://www.wunderground.com/dashboard/pws/ITAPAL13,,,,,,,,,,,,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
103,ITAPAL6,https://www.wunderground.com/dashboard/pws/ITAPAL6,Tapalpa,19.949,-103.762,18.8,0.0,0.0,91.0,3.2,112.0,6.4,ESE,3.05,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
104,ITAPAL9,https://www.wunderground.com/dashboard/pws/ITAPAL9,Tapalpa,19.927359,-103.665022,14.9,7.22,0.0,99.0,2.7,330.0,5.5,NNW,7.19,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
105,ITAPALPA4,https://www.wunderground.com/dashboard/pws/ITAPALPA4,Rancho Viejo,19.944168,-103.764381,17.5,0.0,0.0,99.0,0.0,270.0,0.0,W,0.0,0.0,5,LAGUNAS,Tapalpa,78.0,0.0,19.5,19.6,39.0,39.1,58.5,58.6,78.0,78.1
106,ITECOL7,https://www.wunderground.com/dashboard/pws/ITECOL7,Tecolotlán,20.302,-104.036,16.2,13.05,13.06,97.0,1.1,34.0,8.4,NE,13.05,2.870000000000001,2,SIERRA DE AMULA,Tecolotlán,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
107,ITENAM7,https://www.wunderground.com/dashboard/pws/ITENAM7,Tenamaxtlán,20.216,-104.168,20.6,1.44,0.94,86.0,4.8,95.0,9.3,E,1.44,0.9299999999999999,1,SIERRA DE AMULA,Tenamaxtlán,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
108,ITEOCA2,https://www.wunderground.com/dashboard/pws/ITEOCA2,Teocaltiche,21.64,-102.401,17.8,0.0,0.0,77.0,6.9,60.0,7.2,ENE,0.0,0.0,5,ALTOS NORTE,Teocaltiche,71.0,0.0,17.75,17.85,35.5,35.6,53.25,53.35,71.0,71.1
109,ITEPAT5,https://www.wunderground.com/dashboard/pws/ITEPAT5,Tepatitlán de Morelos Municipality,20.828564,-102.68527,17.7,0.0,0.0,85.0,5.4,93.0,7.2,E,0.0,0.0,5,ALTOS SUR,Tepatitlán de Morelos,76.0,0.0,19.0,19.1,38.0,38.1,57.0,57.1,76.0,76.1
110,ITEQUI3,https://www.wunderground.com/dashboard/pws/ITEQUI3,Tequila,20.872,-103.835,23.7,0.2,0.0,76.0,0.0,241.0,0.0,WSW,0.0,0.0,5,VALLES,Tequila,82.0,0.0,20.5,20.6,41.0,41.1,61.5,61.6,82.0,82.1
111,ITESISTN2,https://www.wunderground.com/dashboard/pws/ITESISTN2,Cruz Verde Santa Lucia,20.798895,-103.495842,20.9,1.78,0.0,78.0,0.0,49.0,4.8,NE,1.78,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
112,ITLAJO3,https://www.wunderground.com/dashboard/pws/ITLAJO3,Tlajomulco de Zúñiga,20.479308,-103.435784,19.7,0.0,0.0,92.0,0.0,,1.6,,0.0,0.0,5,CENTRO,Tlajomulco de Zúñiga,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
113,ITLAJO7,https://www.wunderground.com/dashboard/pws/ITLAJO7,Tlajomulco de Zúñiga,20.472229,-103.483844,18.9,4.83,0.0,99.0,0.0,205.0,0.0,SSW,4.83,0.0,5,CENTRO,Tlajomulco de Zúñiga,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
114,ITLAJO9,https://www.wunderground.com/dashboard/pws/ITLAJO9,Tlajomulco de Zúñiga,20.574437,-103.481446,19.0,3.99,0.0,87.0,2.5,267.0,3.6,W,3.99,0.0,5,CENTRO,Tlajomulco de Zúñiga,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
115,ITLAQU4,https://www.wunderground.com/dashboard/pws/ITLAQU4,,,,,,,,,,,,0.0,0.0,5,CENTRO,San Pedro Tlaquepaque,85.0,0.0,21.25,21.35,42.5,42.6,63.75,63.85,85.0,85.1
116,ITOLIM2,https://www.wunderground.com/dashboard/pws/ITOLIM2,Tolimán,19.549351,-104.053059,20.6,0.51,0.0,96.0,0.0,73.0,0.0,ENE,0.0,0.0,5,SIERRA DE AMULA,Tolimán,95.0,0.0,23.75,23.85,47.5,47.6,71.25,71.35,95.0,95.1
117,ITOMAT1,https://www.wunderground.com/dashboard/pws/ITOMAT1,Tomatlán,19.938,-105.25,25.4,19.61,0.0,95.0,0.7,106.0,3.6,ESE,6.399999999999999,0.0,5,COSTA SUR,Tomatlán,142.0,0.0,35.5,35.6,71.0,71.1,106.5,106.6,142.0,142.1
118,ITOMAT6,https://www.wunderground.com/dashboard/pws/ITOMAT6,,,,,,,,,,,,0.0,0.0,5,COSTA SUR,Tomatlán,142.0,0.0,35.5,35.6,71.0,71.1,106.5,106.6,142.0,142.1
119,ITONAL12,https://www.wunderground.com/dashboard/pws/ITONAL12,,,,,,,,,,,,0.0,0.0,5,CENTRO,Tonalá,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
120,ITONAY1,https://www.wunderground.com/dashboard/pws/ITONAY1,Tonaya,19.884351,-103.887076,20.9,0.19,0.0,95.0,0.5,51.0,2.4,NE,0.19,0.0,5,SIERRA DE AMULA,Tonaya,88.0,0.0,22.0,22.1,44.0,44.1,66.0,66.1,88.0,88.1
121,ITONIL1,https://www.wunderground.com/dashboard/pws/ITONIL1,Tonila,19.471328,-103.54982,19.1,22.86,0.25,97.0,1.6,289.0,3.2,WNW,0.25,0.25,5,SUR,Tonila,120.0,0.0,30.0,30.1,60.0,60.1,90.0,90.1,120.0,120.1
122,ITOTOT1,https://www.wunderground.com/dashboard/pws/ITOTOT1,Tototlán,20.542,-102.785,20.5,0.0,0.0,84.0,0.0,83.0,0.0,E,0.0,0.0,5,CIENEGA,Tototlán,79.0,0.0,19.75,19.85,39.5,39.6,59.25,59.35,79.0,79.1
123,ITUXCA1,https://www.wunderground.com/dashboard/pws/ITUXCA1,Tuxcacuesco,19.641,-104.1,21.6,0.51,0.0,95.0,0.0,87.0,0.0,E,0.0,0.0,5,SIERRA DE AMULA,Tuxcacuesco,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
124,ITUXPA4,https://www.wunderground.com/dashboard/pws/ITUXPA4,Tuxpan,19.5541,-103.6076,5.9,23.88,0.76,99.0,29.0,360.0,40.2,N,5.339999999999999,0.509999999999998,1,SUR,Tuxpan,105.0,0.0,26.25,26.35,52.5,52.6,78.75,78.85,105.0,105.1
125,ITUXPA7,https://www.wunderground.com/dashboard/pws/ITUXPA7,,,,,,,,,,,,0.0,0.0,5,SUR,Tuxpan,105.0,0.0,26.25,26.35,52.5,52.6,78.75,78.85,105.0,105.1
126,ITUXPA8,https://www.wunderground.com/dashboard/pws/ITUXPA8,Tuxpan,19.593,-103.593,8.8,27.89,0.0,99.0,0.0,156.0,0.0,SSE,8.379999999999999,0.0,5,SUR,Tuxpan,105.0,0.0,26.25,26.35,52.5,52.6,78.75,78.85,105.0,105.1
127,IUNIND12,https://www.wunderground.com/dashboard/pws/IUNIND12,Unión de Tula,19.952,-104.272,20.4,1.3,0.0,89.0,3.6,125.0,5.4,SE,1.3,0.0,5,SIERRA DE AMULA,Unión de Tula,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
128,IURUAP1,https://www.wunderground.com/dashboard/pws/IURUAP1,Uruapan,19.385032,-102.08197,,,,,,,,,12.95,0.0,5,,,,,,,,,,,,
129,IVALLE329,https://www.wunderground.com/dashboard/pws/IVALLE329,Valle de Juárez,19.935526,-102.944881,16.9,,,97.0,1.4,218.0,5.6,SW,0.0,0.0,5,SURESTE,Valle de Juárez,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
130,IVILLA1661,https://www.wunderground.com/dashboard/pws/IVILLA1661,Villa Corona,20.409501,-103.668731,19.8,6.91,2.13,92.0,2.4,169.0,3.5,S,6.91,0.009999999999999787,1,LAGUNAS,Villa Corona,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
131,IVILLA1678,https://www.wunderground.com/dashboard/pws/IVILLA1678,Villa Hidalgo,21.693244,-102.60127,17.0,0.25,0.0,85.0,0.0,113.0,0.0,ESE,0.25,0.0,5,ALTOS NORTE,Villa Hidalgo,68.0,0.0,17.0,17.1,34.0,34.1,51.0,51.1,68.0,68.1
132,IVILLA1790,https://www.wunderground.com/dashboard/pws/IVILLA1790,Purificacion,19.719,-104.601,23.0,108.85,0.0,95.0,2.7,239.0,4.5,WSW,108.85,0.0,5,COSTA SUR,Villa Purificación,126.0,0.0,31.5,31.6,63.0,63.1,94.5,94.6,126.0,126.1
133,IVILLA785,https://www.wunderground.com/dashboard/pws/IVILLA785,,,,,,,,,,,,0.0,0.0,5,NORTE,Villa Guerrero,70.0,0.0,17.5,17.6,35.0,35.1,52.5,52.6,70.0,70.1
134,IYURCU1,https://www.wunderground.com/dashboard/pws/IYURCU1,Yurécuaro,20.339813,-102.300952,20.4,0.0,0.0,92.0,3.6,356.0,3.6,N,0.0,0.0,5,,,,,,,,,,,,
135,IZAPOP1,https://www.wunderground.com/dashboard/pws/IZAPOP1,Zapopan,20.637802,-103.406906,,0.0,,91.0,0.0,270.0,0.0,W,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
136,IZAPOP10,https://www.wunderground.com/dashboard/pws/IZAPOP10,Zapopan,20.662681,-103.422666,21.1,,,78.0,1.6,215.0,6.4,SW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
137,IZAPOP11,https://www.wunderground.com/dashboard/pws/IZAPOP11,Zapopan,20.651483,-103.401959,21.1,0.25,0.0,78.0,6.4,246.0,12.9,WSW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
138,IZAPOP17,https://www.wunderground.com/dashboard/pws/IZAPOP17,Zapopan,20.698455,-103.423363,20.9,1.02,0.0,85.0,4.7,291.0,5.4,WNW,1.02,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
139,IZAPOP30,https://www.wunderground.com/dashboard/pws/IZAPOP30,Zapopan,20.653,-103.427,,0.25,0.0,74.0,1.6,317.0,3.2,NW,0.25,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
140,IZAPOP35,https://www.wunderground.com/dashboard/pws/IZAPOP35,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
141,IZAPOP36,https://www.wunderground.com/dashboard/pws/IZAPOP36,Zapopan,20.728,-103.38,21.2,0.0,0.0,76.0,4.8,225.0,11.3,SW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
142,IZAPOP4,https://www.wunderground.com/dashboard/pws/IZAPOP4,Zapopan,20.640043,-103.461136,19.9,0.0,0.0,82.0,3.2,302.0,8.0,WNW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
143,IZAPOP46,https://www.wunderground.com/dashboard/pws/IZAPOP46,Zapopan,20.71541,-103.455315,23.4,,,72.0,0.0,113.0,0.0,ESE,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
144,IZAPOP5,https://www.wunderground.com/dashboard/pws/IZAPOP5,Zapopan,20.902273,-103.432343,21.2,1.78,0.0,82.0,4.8,138.0,11.3,SE,1.78,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
145,IZAPOP53,https://www.wunderground.com/dashboard/pws/IZAPOP53,Zapopan,20.746884,-103.404676,21.1,0.0,0.0,82.0,0.0,158.0,0.0,SSE,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
146,IZAPOP56,https://www.wunderground.com/dashboard/pws/IZAPOP56,Zapopan,20.62418,-103.41196,21.4,0.0,0.0,78.0,0.0,282.0,0.0,WNW,0.0,0.0,5,CENTRO,San Pedro Tlaquepaque,85.0,0.0,21.25,21.35,42.5,42.6,63.75,63.85,85.0,85.1
147,IZAPOP58,https://www.wunderground.com/dashboard/pws/IZAPOP58,Zapopan,20.763,-103.383,21.1,0.0,0.0,81.0,5.0,191.0,5.0,S,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
148,IZAPOP6,https://www.wunderground.com/dashboard/pws/IZAPOP6,Zapopan,20.754532,-103.450223,21.2,0.0,0.0,79.0,3.2,81.0,11.3,E,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
149,IZAPOP60,https://www.wunderground.com/dashboard/pws/IZAPOP60,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
150,IZAPOP61,https://www.wunderground.com/dashboard/pws/IZAPOP61,Zapopan,20.763506,-103.395746,,0.0,0.0,86.0,3.6,63.0,5.4,ENE,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
151,IZAPOP62,https://www.wunderground.com/dashboard/pws/IZAPOP62,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
152,IZAPOP64,https://www.wunderground.com/dashboard/pws/IZAPOP64,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
153,IZAPOP65,https://www.wunderground.com/dashboard/pws/IZAPOP65,Zapopan,20.723046,-103.591413,20.5,0.01,0.0,84.0,2.3,1.0,4.8,N,0.01,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
154,IZAPOP66,https://www.wunderground.com/dashboard/pws/IZAPOP66,Zapopan,20.607883,-103.487528,19.1,0.0,0.0,81.0,2.9,289.0,9.0,WNW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
155,IZAPOP67,https://www.wunderground.com/dashboard/pws/IZAPOP67,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
156,IZAPOPAN27,https://www.wunderground.com/dashboard/pws/IZAPOPAN27,Technology Park,20.730515,-103.496544,21.2,0.0,0.0,73.0,0.0,148.0,3.2,SSE,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
157,IZAPOPAN29,https://www.wunderground.com/dashboard/pws/IZAPOPAN29,UAG,20.694202,-103.422943,20.7,0.25,0.0,77.0,8.0,225.0,16.1,SW,0.25,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
158,IZAPOPAN30,https://www.wunderground.com/dashboard/pws/IZAPOPAN30,CENTRO DE SALUD LA PRIMAVERA,20.725069,-103.562874,20.7,0.0,0.0,78.0,0.0,273.0,3.2,W,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
159,IZAPOPAN32,https://www.wunderground.com/dashboard/pws/IZAPOPAN32,El Fortin,20.628571,-103.477287,19.7,0.0,0.0,80.0,4.8,300.0,9.7,WNW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
160,IZAPOPAN36,https://www.wunderground.com/dashboard/pws/IZAPOPAN36,Las Canadas,20.766397,-103.374794,20.7,0.0,0.0,79.0,1.6,167.0,9.7,SSE,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
161,IZAPOPAN37,https://www.wunderground.com/dashboard/pws/IZAPOPAN37,Tec. de Zapopan,20.701973,-103.473366,,,0.0,,,,,,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
162,IZAPOPAN38,https://www.wunderground.com/dashboard/pws/IZAPOPAN38,Plaza La Cima,20.75366,-103.427681,21.2,0.0,0.0,75.0,4.8,219.0,11.3,SW,0.0,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
163,IZAPOT12,https://www.wunderground.com/dashboard/pws/IZAPOT12,Zapotlanejo,20.621273,-103.061889,21.0,0.0,0.0,83.0,1.1,233.0,1.8,SW,0.0,0.0,5,CENTRO,Zapotlanejo,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
164,IZAPOT5,https://www.wunderground.com/dashboard/pws/IZAPOT5,,,,,,,,,,,,0.0,0.0,5,CENTRO,Zapotlanejo,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
165,IZAPOT7,https://www.wunderground.com/dashboard/pws/IZAPOT7,,,,,,,,,,,,0.0,0.0,5,SURESTE,Jocotepec,81.0,0.0,20.25,20.35,40.5,40.6,60.75,60.85,81.0,81.1
166,KJAGUADA1,https://www.wunderground.com/dashboard/pws/KJAGUADA1,Instituto de Astronomia y Meteorologia,20.67,-103.38,20.7,0.25,0.0,82.0,0.0,231.0,0.0,SW,0.25,0.0,5,CENTRO,Guadalajara,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
167,IACATI1,https://www.wunderground.com/dashboard/pws/IACATI1,Acatic,20.777,-102.91,21.2,0.0,0.0,76.0,0.0,198.0,0.0,SSW,0.0,0.0,5,ALTOS SUR,Acatic,76.0,0.0,19.0,19.1,38.0,38.1,57.0,57.1,76.0,76.1
168,ITUXPA9,https://www.wunderground.com/dashboard/pws/ITUXPA9,,,,,,,,,,,,0.0,0.0,5,SUR,Tuxpan,105.0,0.0,26.25,26.35,52.5,52.6,78.75,78.85,105.0,105.1
169,ITONAL13,https://www.wunderground.com/dashboard/pws/ITONAL13,Tonalá,20.632,-103.257,20.3,0.0,0.0,85.0,9.4,154.0,11.2,SSE,0.0,0.0,5,CENTRO,Tonalá,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
170,ITEPAT8,https://www.wunderground.com/dashboard/pws/ITEPAT8,Tepatitlán,20.815,-102.761,20.9,0.0,0.0,71.0,2.9,30.0,3.6,NNE,0.0,0.0,5,ALTOS SUR,Tepatitlán de Morelos,76.0,0.0,19.0,19.1,38.0,38.1,57.0,57.1,76.0,76.1
171,IJESSM19,https://www.wunderground.com/dashboard/pws/IJESSM19,Jesús María,20.609,-102.222,17.8,0.0,0.0,72.0,9.7,62.0,14.8,ENE,0.0,0.0,5,CIENEGA,Jesús María,74.0,0.0,18.5,18.6,37.0,37.1,55.5,55.6,74.0,74.1
