,estacion,link,localidad,latitud,longitud,temp_C,lluvia_acumulada_mm,razon_lluvia,HR,vel_viento,dir_viento,racha_viento,letra_dir,acum_calc,lluvia_1hr_calc,intensidad_lluvia,REGIÓN_2,MPO_2,UMBRAL,azul_ini,azul_end,verde_ini,verde_end,amarillo_ini,amarillo_end,naranja_ini,naranja_end,rojo_ini
20,ICABOC4,https://www.wunderground.com/dashboard/pws/ICABOC4,Cabo Corrientes,20.221,-105.548,25.2,19.38,0.05,94.0,1.0,27.0,5.1,NNE,19.38,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
21,ICABOC5,https://www.wunderground.com/dashboard/pws/ICABOC5,Cabo Corrientes,20.44352,-105.5457,22.9,4.62,0.0,90.0,2.4,46.0,9.2,NE,2.87,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
22,ICABOC6,https://www.wunderground.com/dashboard/pws/ICABOC6,,,,,,,,,,,,25.91,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
23,ICAMPE49,https://www.wunderground.com/dashboard/pws/ICAMPE49,Campestre las Palomas,20.821015,-103.443027,21.2,4.06,0.0,79.0,1.6,174.0,11.3,S,4.06,0.0,5,CENTRO,Zapopan,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
24,ICHAPA18,https://www.wunderground.com/dashboard/pws/ICHAPA18,Chapala,20.296,-103.196,20.7,11.2,0.0,90.0,9.7,258.0,11.1,WSW,11.2,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
25,ICHAPA21,https://www.wunderground.com/dashboard/pws/ICHAPA21,Chapala,20.322926,-103.191092,19.4,2.79,,99.0,0.0,203.0,6.4,SSW,2.79,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
26,ICHAPALA2,https://www.wunderground.com/dashboard/pws/ICHAPALA2,Brisas de Chapala,20.325994,-103.200989,18.5,,,99.0,0.0,23.0,0.0,NNE,0.0,0.0,5,CENTRO,Ixtlahuacán de los Membrillos,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
27,ICHIQU14,https://www.wunderground.com/dashboard/pws/ICHIQU14,,,,,,,,,,,,0.0,0.0,5,SIERRA DE AMULA,Chiquilistlán,80.0,0.0,20.0,20.1,40.0,40.1,60.0,60.1,80.0,80.1
28,ICIHUA1,https://www.wunderground.com/dashboard/pws/ICIHUA1,Cihuatlán,19.24139,-104.709921,27.6,,,94.0,0.0,346.0,3.2,NNW,0.0,0.0,5,COSTA SUR,Cihuatlán,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
29,ICIHUA4,https://www.wunderground.com/dashboard/pws/ICIHUA4,Cihuatlán,19.238333,-104.573056,26.0,,,90.0,1.1,314.0,4.5,NW,0.0,0.0,5,COSTA SUR,Cihuatlán,84.0,0.0,21.0,21.1,42.0,42.1,63.0,63.1,84.0,84.1
30,ICIUDA140,https://www.wunderground.com/dashboard/pws/ICIUDA140,Ciudad Penesín,19.722772,-103.459584,21.0,1.27,0.0,77.0,1.6,360.0,14.5,N,0.0,0.0,5,SUR,Zapotlán el Grande,87.0,0.0,21.75,21.85,43.5,43.6,65.25,65.35,87.0,87.1
31,ICUAUT4,https://www.wunderground.com/dashboard/pws/ICUAUT4,,,,,,,,,,,,0.0,0.0,5,COSTA SUR,Cuautitlán de García Barragán,138.0,0.0,34.5,34.6,69.0,69.1,103.5,103.6,138.0,138.1
32,ICUAUT5,https://www.wunderground.com/dashboard/pws/ICUAUT5,,,,,,,,,,,,113.14,0.0,5,COSTA SUR,Cuautitlán de García Barragán,138.0,0.0,34.5,34.6,69.0,69.1,103.5,103.6,138.0,138.1
33,IELARE6,https://www.wunderground.com/dashboard/pws/IELARE6,El Arenal,20.707839,-103.632649,20.9,0.0,0.0,85.0,0.8,131.0,3.7,SE,0.0,0.0,5,VALLES,El Arenal,87.0,0.0,21.75,21.85,43.5,43.6,65.25,65.35,87.0,87.1
34,IELGRU1,https://www.wunderground.com/dashboard/pws/IELGRU1,El Grullo,19.802,-104.223,22.9,1.78,0.0,91.0,4.8,175.0,8.0,S,1.78,0.0,5,SIERRA DE AMULA,El Grullo,93.0,0.0,23.25,23.35,46.5,46.6,69.75,69.85,93.0,93.1
35,IELLIM11,https://www.wunderground.com/dashboard/pws/IELLIM11,El Limón,19.828,-104.152,22.8,0.0,0.0,90.0,0.0,340.0,0.0,NNW,0.0,0.0,5,SIERRA DE AMULA,El Limón,97.0,0.0,24.25,24.35,48.5,48.6,72.75,72.85,97.0,97.1
36,IELTUI1,https://www.wunderground.com/dashboard/pws/IELTUI1,,,,,,,,,,,,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Cabo Corrientes,160.0,0.0,40.0,40.1,80.0,80.1,120.0,120.1,160.0,160.1
37,IENCAR2,https://www.wunderground.com/dashboard/pws/IENCAR2,Encarnación de Díaz,21.748211,-102.097131,16.1,0.0,0.0,85.0,0.0,99.0,0.0,E,0.0,0.0,5,ALTOS NORTE,Encarnación de Díaz,69.0,0.0,17.25,17.35,34.5,34.6,51.75,51.85,69.0,69.1
38,IGUACH3,https://www.wunderground.com/dashboard/pws/IGUACH3,Guachinango,20.575153,-104.381356,21.0,0.0,0.0,86.0,0.5,279.0,2.9,W,0.0,0.0,5,SIERRA COSTA-OCCIDEN,Guachinango,87.0,0.0,21.75,21.85,43.5,43.6,65.25,65.35,87.0,87.1
39,IGUADA112,https://www.wunderground.com/dashboard/pws/IGUADA112,Guadalajara,20.629304,-103.336858,21.5,0.0,0.0,75.0,1.6,192.0,8.0,SSW,0.0,0.0,5,CENTRO,Guadalajara,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
40,IGUADA147,https://www.wunderground.com/dashboard/pws/IGUADA147,Guadalajara,20.640441,-103.384507,21.0,0.0,,86.0,2.7,225.0,,SW,0.0,0.0,5,CENTRO,Guadalajara,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
41,IGUADALA32,https://www.wunderground.com/dashboard/pws/IGUADALA32,Providencia,20.697197,-103.37394,21.3,0.25,0.0,79.0,3.2,180.0,6.4,S,0.25,0.0,5,CENTRO,Guadalajara,86.0,0.0,21.5,21.6,43.0,43.1,64.5,64.6,86.0,86.1
42,IHOSTO25,https://www.wunderground.com/dashboard/pws/IHOSTO25,Hostotipaquillo,21.052,-104.047,22.1,0.0,0.0,84.0,1.4,329.0,1.8,NNW,0.0,0.0,5,VALLES,Hostotipaquillo,81.0,0.0,20.25,20.35,40.5,40.6,60.75,60.85,81.0,81.1
43,IIXTLN1,https://www.wunderground.com/dashboard/pws/IIXTLN1,Ixtlán del Río,21.038079,-104.369079,23.9,0.0,0.0,90.0,0.0,328.0,3.6,NNW,0.0,0.0,5,,,,,,,,,,,,
44,IJALISCO38,https://www.wunderground.com/dashboard/pws/IJALISCO38,Rancho Del Oro,20.305,-103.273003,19.3,3.3,0.0,91.0,0.0,330.0,3.2,NNW,3.3,0.0,5,SURESTE,Chapala,83.0,0.0,20.75,20.85,41.5,41.6,62.25,62.35,83.0,83.1
45,IJALISCO60,https://www.wunderground.com/dashboard/pws/IJALISCO60,MeteoCiudadGuzman,19.686556,-103.463509,20.2,6.3,0.0,87.0,6.4,151.0,10.5,SSE,50.4,0.0,5,SUR,Zapotlán el Grande,87.0,0.0,21.75,21.85,43.5,43.6,65.25,65.35,87.0,87.1
46,IJUANA20,https://www.wunderground.com/dashboard/pws/IJUANA20,Juanacatlán,20.455,-103.168,19.3,16.0,0.25,90.0,1.6,15.0,3.2,NNE,16.0,0.0,5,CENTRO,Juanacatlán,81.0,0.0,20.25,20.35,40.5,40.6,60.75,60.85,81.0,81.1
